ObvservationNum,Species,Coordinates,Coord_Lat,Coord_long
144, American Bison,"(-1.26696845, 116.89707027307526)",-1.26696845,116.8970703
911, American Bison,"(25.6838307, -100.1747292)",25.6838307,-100.1747292
738, American Bison,"(25.6838307, -100.1747292)",25.6838307,-100.1747292
213, American Bison,"(25.6838307, -100.1747292)",25.6838307,-100.1747292
326, American Bison,"(25.6838307, -100.1747292)",25.6838307,-100.1747292
860, American Bison,"(26.5101743, 93.9686138)",26.5101743,93.9686138
812, American Bison,"(26.5101743, 93.9686138)",26.5101743,93.9686138
80, American Bison,"(26.5101743, 93.9686138)",26.5101743,93.9686138
389, American Bison,"(28.5000001, -106.0000001)",28.5000001,-106.0000001
293, American Bison,"(28.5000001, -106.0000001)",28.5000001,-106.0000001
119, American Bison,"(29.675568, -82.3640109)",29.675568,-82.3640109
423, American Bison,"(29.675568, -82.3640109)",29.675568,-82.3640109
246, American Bison,"(29.675568, -82.3640109)",29.675568,-82.3640109
761, American Bison,"(33.1165937, -107.2569421)",33.1165937,-107.2569421
677, American Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
682, American Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
569, American Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
529, American Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
867, American Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
894, American Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
747, American Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
235, American Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
196, American Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
101, American Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
103, American Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
106, American Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
109, American Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
72, American Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
404, American Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
276, American Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
287, American Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
579, Plains Bison,"(33.38890375, -118.42392875335277)",33.38890375,-118.4239288
378, American Bison,"(33.810513, -117.92010276328423)",33.810513,-117.9201028
