ObvservationNum,Species,Coordinates,Coord_Lat,Coord_long
0, Antarctic Petrel,"(-58.555462, -62.48308020569927)",-58.555462,-62.48308021
22, Antarctic Petrel,"(-71.524909, -176.835937)",-71.524909,-176.835937
21, Antarctic Petrel,"(-72.644913, -178.945312)",-72.644913,-178.945312
20, Antarctic Petrel,"(-63.9373724679, -49.306640625)",-63.93737247,-49.30664063
19, Antarctic Petrel,"(-61.5, -59.83)",-61.5,-59.83
18, Antarctic Petrel,"(-63.3380679949, -56.777184739)",-63.33806799,-56.77718474
17, Antarctic Petrel,"(-52.164360599999995, -74.69243213121464)",-52.1643606,-74.69243213
16, Antarctic Petrel,"(-67.9783582949, -178.7705024183)",-67.97835829,-178.7705024
15, Antarctic Petrel,"(-70.45243, -178.2946833333)",-70.45243,-178.2946833
14, Antarctic Petrel,"(-58.555462, -62.48308020569927)",-58.555462,-62.48308021
13, Antarctic Petrel,"(-58.555462, -62.48308020569927)",-58.555462,-62.48308021
11, Antarctic Petrel,"(-58.555462, -62.48308020569927)",-58.555462,-62.48308021
10, Antarctic Petrel,"(-58.555462, -62.48308020569927)",-58.555462,-62.48308021
9, Antarctic Petrel,"(-58.555462, -62.48308020569927)",-58.555462,-62.48308021
8, Antarctic Petrel,"(-58.555462, -62.48308020569927)",-58.555462,-62.48308021
7, Antarctic Petrel,"(-58.555462, -62.48308020569927)",-58.555462,-62.48308021
6, Antarctic Petrel,"(-58.555462, -62.48308020569927)",-58.555462,-62.48308021
5, Antarctic Petrel,"(-58.555462, -62.48308020569927)",-58.555462,-62.48308021
4, Antarctic Petrel,"(-58.555462, -62.48308020569927)",-58.555462,-62.48308021
3, Antarctic Petrel,"(-58.555462, -62.48308020569927)",-58.555462,-62.48308021
2, Antarctic Petrel,"(-60.386337, -67.075401)",-60.386337,-67.075401
1, Antarctic Petrel,"(-58.555462, -62.48308020569927)",-58.555462,-62.48308021
12, Antarctic Petrel,"(-58.555462, -62.48308020569927)",-58.555462,-62.48308021
