ObvservationNum,Species,Coordinates,Coord_Lat,Coord_long
33, Humpback Whale,"(-79.4063075, 0.3149312)",-79.4063075,0.3149312
31, Humpback Whale,"(-79.4063075, 0.3149312)",-79.4063075,0.3149312
25, Humpback Whale,"(-79.4063075, 0.3149312)",-79.4063075,0.3149312
22, Humpback Whale,"(-79.4063075, 0.3149312)",-79.4063075,0.3149312
21, Humpback Whale,"(-79.4063075, 0.3149312)",-79.4063075,0.3149312
20, Humpback Whale,"(-79.4063075, 0.3149312)",-79.4063075,0.3149312
34, Humpback Whale,"(-79.4063075, 0.3149312)",-79.4063075,0.3149312
32, Humpback Whale,"(-79.4063075, 0.3149312)",-79.4063075,0.3149312
36, Humpback Whale,"(-79.4063075, 0.3149312)",-79.4063075,0.3149312
48, Humpback Whale,"(-79.4063075, 0.3149312)",-79.4063075,0.3149312
38, Humpback Whale,"(-79.4063075, 0.3149312)",-79.4063075,0.3149312
47, Humpback Whale,"(-79.4063075, 0.3149312)",-79.4063075,0.3149312
39, Humpback Whale,"(-79.4063075, 0.3149312)",-79.4063075,0.3149312
40, Humpback Whale,"(-79.4063075, 0.3149312)",-79.4063075,0.3149312
41, Humpback Whale,"(-79.4063075, 0.3149312)",-79.4063075,0.3149312
45, Humpback Whale,"(-66.2852, -66.6479333333)",-66.2852,-66.64793333
43, Humpback Whale,"(-65.7068333333, -64.9151)",-65.70683333,-64.9151
37, Humpback Whale,"(-64.6648833333, -62.8110166667)",-64.66488333,-62.81101667
35, Humpback Whale,"(-64.6172333333, -62.7085833333)",-64.61723333,-62.70858333
26, Humpback Whale,"(-64.58435, -62.6418833333)",-64.58435,-62.64188333
24, Humpback Whale,"(-63.56605, -55.3210333333)",-63.56605,-55.32103333
23, Humpback Whale,"(-62.5692666667, -58.6444)",-62.56926667,-58.6444
30, Humpback Whale,"(-62.17035, -53.86695)",-62.17035,-53.86695
27, Humpback Whale,"(-54.4315, -36.618593125)",-54.4315,-36.61859313
28, Humpback Whale,"(-54.02794165, -37.39109255291329)",-54.02794165,-37.39109255
8, Southern Humpback Whale,"(-36.852095, 174.7631803)",-36.852095,174.7631803
9, Southern Humpback Whale,"(-36.852095, 174.7631803)",-36.852095,174.7631803
79, Humpback Whale,"(-36.5986096, 144.6780052)",-36.5986096,144.6780052
10, Humpback Whale,"(-35.57341, 138.75155)",-35.57341,138.75155
5, Humpback Whale,"(-35.3712702, 173.7405337)",-35.3712702,173.7405337
73, Humpback Whale,"(-33.9629779, 151.2480171)",-33.9629779,151.2480171
140, Southern Humpback Whale,"(-33.91479835, 18.548646481249435)",-33.91479835,18.54864648
69, Humpback Whale,"(-31.8759835, 147.2869493)",-31.8759835,147.2869493
67, Humpback Whale,"(-31.8759835, 147.2869493)",-31.8759835,147.2869493
66, Humpback Whale,"(-31.8759835, 147.2869493)",-31.8759835,147.2869493
18, Humpback Whale,"(-31.8759835, 147.2869493)",-31.8759835,147.2869493
141, Southern Humpback Whale,"(-28.8166236, 24.991639)",-28.8166236,24.991639
144, Humpback Whale,"(-27.1524913, -48.4818934)",-27.1524913,-48.4818934
53, Humpback Whale,"(-25.341497, 152.80066696008404)",-25.341497,152.800667
52, Southern Humpback Whale,"(-25.341497, 152.80066696008404)",-25.341497,152.800667
84, Humpback Whale,"(-23.3655617, -149.4620815634715)",-23.3655617,-149.4620816
83, Humpback Whale,"(-23.3655617, -149.4620815634715)",-23.3655617,-149.4620816
82, Humpback Whale,"(-23.3655617, -149.4620815634715)",-23.3655617,-149.4620816
81, Humpback Whale,"(-23.3655617, -149.4620815634715)",-23.3655617,-149.4620816
77, Southern Humpback Whale,"(-22.9542501, 14.5074577)",-22.9542501,14.5074577
13, Humpback Whale,"(-21.0006099, 55.2771585)",-21.0006099,55.2771585
71, Humpback Whale,"(-18.62315975, -174.00203980987774)",-18.62315975,-174.0020398
78, Humpback Whale,"(-6.09994425, 39.32094431715264)",-6.09994425,39.32094432
88, Humpback Whale,"(2.8894434, -73.783892)",2.8894434,-73.783892
72, Humpback Whale,"(8.55609915, -83.23037424946057)",8.55609915,-83.23037425
114, Humpback Whale,"(8.70721285, -83.88020180207592)",8.70721285,-83.8802018
14, Humpback Whale,"(8.70721285, -83.88020180207592)",8.70721285,-83.8802018
15, Humpback Whale,"(9.4107288, -84.1557625)",9.4107288,-84.1557625
99, Humpback Whale,"(16.220902, -95.1911261)",16.220902,-95.1911261
98, Humpback Whale,"(16.220902, -95.1911261)",16.220902,-95.1911261
97, Humpback Whale,"(16.220902, -95.1911261)",16.220902,-95.1911261
95, Humpback Whale,"(16.220902, -95.1911261)",16.220902,-95.1911261
94, Humpback Whale,"(16.220902, -95.1911261)",16.220902,-95.1911261
