ObvservationNum,Species,Coordinates,Coord_Lat,Coord_long
592, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
687, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
497, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
474, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
877, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
782, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
194, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
195, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
196, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
197, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
198, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
16, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
17, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
88, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
89, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
90, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
91, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
70, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
71, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
72, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
83, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
383, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
384, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
385, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
388, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
389, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
391, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
403, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
353, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
370, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
371, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
372, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
373, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
374, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
462, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
349, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
323, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
324, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
325, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
326, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
327, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
