ObvservationNum,Species,Coordinates,Coord_Lat,Coord_long
761, White-tailed Deer,"(-1.1023153, -78.4797945)",-1.1023153,-78.4797945
211, Ecuatorian Páramo White-tailed Deer,"(-0.389774, -78.5253769)",-0.389774,-78.5253769
378, White-tailed Deer,"(-0.2219721, -78.5232362)",-0.2219721,-78.5232362
401, White-tailed Deer,"(9.3803077, -76.1803125)",9.3803077,-76.1803125
186, White-tailed Deer,"(9.4310986, -84.1620985)",9.4310986,-84.1620985
195, White-tailed Deer,"(9.5773243, -83.82371114343024)",9.5773243,-83.82371114
857, White-tailed Deer,"(14.7684195, -87.4629323)",14.7684195,-87.4629323
805, White-tailed Deer,"(17.56348585, -93.94000863532293)",17.56348585,-93.94000864
319, White-tailed Deer,"(19.6666671, -88.5000001)",19.6666671,-88.5000001
688, White-tailed Deer,"(20.373836, -90.05903554033479)",20.373836,-90.05903554
397, White-tailed Deer,"(20.5165695, -100.36906847057679)",20.5165695,-100.3690685
395, White-tailed Deer,"(20.5165695, -100.36906847057679)",20.5165695,-100.3690685
699, White-tailed Deer,"(22.9459761, -102.698613)",22.9459761,-102.698613
729, White-tailed Deer,"(23.2313053, -106.4153144)",23.2313053,-106.4153144
671, White-tailed Deer,"(23.7169064, 90.4161866)",23.7169064,90.4161866
385, White-tailed Deer,"(23.7169064, 90.4161866)",23.7169064,90.4161866
392, White-tailed Deer,"(23.7169064, 90.4161866)",23.7169064,90.4161866
102, White-tailed Deer,"(24.3808087, -101.97897219240764)",24.3808087,-101.9789722
103, White-tailed Deer,"(24.3808087, -101.97897219240764)",24.3808087,-101.9789722
105, White-tailed Deer,"(24.3808087, -101.97897219240764)",24.3808087,-101.9789722
104, White-tailed Deer,"(24.3808087, -101.97897219240764)",24.3808087,-101.9789722
309, Key Deer,"(25.0405135, -80.8337157)",25.0405135,-80.8337157
487, Key Deer,"(25.0405135, -80.8337157)",25.0405135,-80.8337157
48, White-tailed Deer,"(25.6802019, -100.3152586)",25.6802019,-100.3152586
